38.099998474121038.50999832153000000006 2016-08-1238.29999923738.5099983
38.340000152587838.45999908447000000004 2016-08-1538.54999923738.4599990
38.150001525878938.38000106811000000006 2016-08-1638.40000152538.3800010
37.880001068115238.13999938964000000005 2016-08-1738.40999984738.1399993
37.930000305175738.22000122070000000003 2016-08-1838.06999969438.2200012
37.895000457763638.09000015258000000005 2016-08-1938.02000045738.0900001
37.659999847412138.11000061035000000010 2016-08-2237.93000030538.1100006
37.799999237060537.86000061035000000006 2016-08-2338.41999816837.8600006
37.409999847412137.52000045776000000005 2016-08-2437.81000137337.5200004
0000000000037.2537.50999832153000000005 2016-08-250000000037.537.5099983
37.380001068115237.65000152587000000004 2016-08-2637.72000122037.6500015
37.270000457763637.29000091552000000004 2016-08-2937.61000061037.2900009
36.985000610351500000000000037000000006 2016-08-3037.2599983210000000037
36.840000152587837.15000152587000000007 2016-08-3100000000003737.1500015
36.580001831054636.83000183105000000010 2016-09-0137.27000045736.8300018
36.299999237060537.06999969482000000006 2016-09-0237.00999832137.0699996
37.020000457763637.18000030517000000006 2016-09-0637.04999923737.1800003
37.259998321533238.56000137329000000010 2016-09-0737.33000183138.5600013
38.500999450683539.27000045776000000012 2016-09-0838.65000152539.2700004
37.909999847412138.00999832153000000010 2016-09-09000000038.7538.0099983
37.540000915527338.77000045776000000008 2016-09-1237.65000152538.7700004
38.409999847412139.86000061035000000017 2016-09-1338.61999893139.8600006
39.529998779296839.95999908447000000013 2016-09-1439.99000167839.9599990
39.869998931884740.83000183105000000012 2016-09-1540.31000137340.8300018
40.325000762939440.70000076293000000011 2016-09-1640.70999908440.7000007
0000000000039.7540.00999832153000000007 2016-09-1940.24000167840.0099983
39.669998168945339.68999862670000000005 2016-09-2040.29999923739.6899986
39.700000762939440.29000091552000000005 2016-09-2139.86000061040.2900009
40.139999389648440.49000167846000000005 2016-09-2240.41999816840.4900016
39.599998474121040.06999969482000000006 2016-09-2339.59999847440.0699996
39.380001068115240.34000015258000000009 2016-09-2639.38000106840.3400001
39.490001678466841.06000137329000000008 2016-09-2740.04000091541.0600013
40.209999084472640.97000122070000000006 2016-09-2841.15000152540.9700012
40.360000610351540.38999938964000000007 2016-09-2940.90999984740.3899993
40.270000457763640.97000122070000000008 2016-09-3040.29000091540.9700012
40.159999847412140.59000015258000000006 2016-10-0340.86999893140.5900001
40.439998626708940.77999877929000000005 2016-10-0441.29999923740.7799987
40.400001525878940.43999862670000000006 2016-10-0540.95000076240.4399986
39.860000610351540.18000030517000000006 2016-10-0640.31999969440.1800003
39.619998931884739.88000106811000000006 2016-10-0740.41999816839.8800010
39.590000152587839.86000061035000000006 2016-10-1040.13000106839.8600006
38.959999084472639.18999862670000000009 2016-10-1140.02999877939.1899986
39.299999237060539.52999877929000000007 2016-10-1239.77000045739.5299987
0000000000038.7539.20000076293000000007 2016-10-1339.38999938939.2000007
39.229999542236339.24000167846000000006 2016-10-1439.45999908439.2400016
39.159999847412139.47999954223000000005 2016-10-1739.24000167839.4799995
39.779998779296839.83000183105000000005 2016-10-1800000000004039.8300018
39.840000152587840.24000167846000000006 2016-10-1939.97000122040.2400016
39.819999694824240.09000015258000000013 2016-10-2040.22999954240.0900001
41.840000152587844.15000152587000000037 2016-10-2141.84999847444.1500015
43.139999389648443.86999893188000000019 2016-10-2400000000004443.8699989
000000000000004343.31000137329000000009 2016-10-2543.65999984743.3100013
42.310001373291042.33000183105000000010 2016-10-2600000000004342.3300018
41.620998382568341.68999862670000000009 2016-10-2742.54999923741.6899986
41.069999694824241.75999832153000000011 2016-10-2841.97999954241.7599983
41.360000610351541.65999984741000000007 2016-10-3141.77999877941.6599998
41.290000915527341.54000091552000000009 2016-11-0141.68000030541.5400009
41.080001831054641.34999847412000000007 2016-11-0241.43000030541.3499984
40.919998168945341.18999862670000000006 2016-11-0341.31999969441.1899986
40.299999237060540.90000152587000000006 2016-11-0440.29999923740.9000015
41.060001373291041.27999877929000000007 2016-11-0741.52000045741.2799987
41.090000152587841.58000183105000000006 2016-11-0841.41999816841.5800018
40.580001831054641.25999832153000000009 2016-11-0940.59999847441.2599983
39.580001831054640.45000076293000000012 2016-11-1041.90000152540.4500007
39.799999237060540.08000183105000000010 2016-11-1140.77000045740.0800018
38.450000762939438.81000137329000000017 2016-11-1440.40000152538.8100013
38.900001525878938.93999862670000000016 2016-11-1539.04000091538.9399986
38.709999084472639.06999969482000000012 2016-11-1639.04999923739.0699996
38.950000762939439.88000106811000000009 2016-11-1739.11999893139.8800010
39.909999847412140.08000183105000000009 2016-11-1840.08000183140.0800018
40.116001129150340.63000106811000000006 2016-11-2140.11999893140.6300010
39.950000762939440.33000183105000000007 2016-11-2240.99000167840.3300018
39.849998474121040.04999923706000000005 2016-11-2340.31000137340.0499992
39.990001678466840.25999832153000000002 2016-11-2540.40000152540.2599983
39.924999237060539.95999908447000000004 2016-11-2840.25999832139.9599990
39.790000915527339.88999938964000000005 2016-11-2940.06999969439.8899993
39.180000305175739.27999877929000000008 2016-11-3040.09999847439.2799987
38.180000305175738.34000015258000000011 2016-12-0139.56000137338.3400001
38.060001373291038.61999893188000000006 2016-12-0238.34000015238.6199989
38.650001525878938.99000167846000000005 2016-12-0538.84999847438.9900016
38.709999084472638.97999954223000000005 2016-12-0639.22999954238.9799995
38.799999237060539.45000076293000000007 2016-12-0739.08000183139.4500007
39.450000762939439.61000061035000000006 2016-12-0839.68000030539.6100006
000000000039.37539.65000152587000000003 2016-12-0939.70000076239.6500015
39.349998474121039.43000030517000000004 2016-12-1239.59999847439.4300003
39.389999389648439.43000030517000000006 2016-12-1339.54999923739.4300003
39.459999084472639.54999923706000000004 2016-12-1439.45999908439.5499992
39.349998474121039.54000091552000000006 2016-12-1539.79999923739.5400009
39.119998931884739.31999969482000000009 2016-12-1639.90000152539.3199996
39.110000610351539.43999862670000000004 2016-12-1939.40000152539.4399986
39.259998321533239.74000167846000000003 2016-12-2039.61000061039.7400016
39.819999694824240.09000015258000000006 2016-12-2139.84000015240.0900001
39.540000915527339.68000030517000000005 2016-12-2240.04000091539.6800003
39.479999542236339.58000183105000000003 2016-12-2339.81999969439.5800018
39.430000305175739.72000122070000000002 2016-12-270000000039.539.7200012
39.529998779296839.56999969482000000003 2016-12-2839.75999832139.5699996
