0.220486104488370.168841466307000000061 1991-05-310.22916667160.22395832
0000000000.218750.170150294899000000066 1991-06-030.22395832830.22569444
0.222222223877900.172767981886000000083 1991-06-040.22395832830.22916667
0.225694447755810.174076825380000000049 1991-06-050.23090277610.23090277
0.225694447755810.172113582491000000050 1991-06-060.23090277610.22829860
0.223958328366270.171459123492000000066 1991-06-070.22395832830.22743055
0.227430552244180.171459123492000000024 1991-06-100.22916667160.22743055
0.227430552244180.174076825380000000037 1991-06-110.22916667160.23090277
0.222222223877900.170150294899000000071 1991-06-120.23090277610.22569444
0.223958328366270.174076825380000000051 1991-06-130.22569444770.23090277
0.229166671633720.178003370761000000118 1991-06-140.23090277610.23611110
0.236111104488370.185856461524000000098 1991-06-170.23611110440.24652777
0.241319447755810.183238744735000000076 1991-06-180.24826389550.24305555
0.229166671633720.178003370761000000082 1991-06-190.24479167160.23611110
0.229166671633720.177348956465000000047 1991-06-200.23263889550.23524305
0.229166671633720.174076825380000000053 1991-06-210.23958332830.23090277
0.215277776122090.163606047630000000109 1991-06-240.22916667160.21701389
0.210069447755810.160988360643000000065 1991-06-25000000.218750.21354167
000000000.2031250.159679517149000000055 1991-06-260.21180555220.21180555
0.211805552244180.162297204136000000084 1991-06-270.21527777610.21527777
0.204861104488370.159679517149000000071 1991-06-280.21701389550.21180555
0.213541671633720.168841466307000000037 1991-07-010.21701389550.22395832
0.217013895511620.166223779320000000034 1991-07-020.22222222380.22048610
0000000000.218750.167532622814000000075 1991-07-03000000.218750.22222222
0.217013895511620.166223779320000000007 1991-07-050.22222222380.22048610
0.213541671633720.170804724097000000049 1991-07-08000000.2187500.2265625
0.229166671633720.178657814860000000121 1991-07-090.23263889550.23697917
0.229166671633720.179312258958000000052 1991-07-100.23958332830.23784722
000000000.2343750.179312258958000000010 1991-07-110.23958332830.23784722
0.236111104488370.183238744735000000044 1991-07-120.23958332830.24305555
0.241319447755810.183238744735000000029 1991-07-150.24479167160.24305555
0.243055552244180.184547618031000000085 1991-07-160.24479167160.24479167
0.243055552244180.187165349721000000028 1991-07-170.24479167160.24826389
0.248263895511620.189783006906000000058 1991-07-180.24826389550.25173610
0000000000000.250.196327239274000000078 1991-07-19000000000.250.26041665
0.256944447755810.196327239274000000061 1991-07-220.26215279100.26041665
0.253472208976740.191091835498000000094 1991-07-230.26041665670.25347220
0.244791671633720.185856461524000000070 1991-07-240.25520834320.24652777
0.244791671633720.187819734215000000053 1991-07-250.24826389550.24913194
0.248263895511620.191746264696000000095 1991-07-26000000000.250.25434029
0.253472208976740.198944941163000000060 1991-07-290.25347220890.26388889
0.263888895511620.202871501445000000065 1991-07-300.26736110440.26909720
0.258680552244180.205489218235000000115 1991-07-310.26909720890.27256944
0.267361104488370.206143647432000000095 1991-08-010.272569447700.2734375
0.274305552244180.213342279195000000109 1991-08-020.27777779100.28298610
0000000000.281250.215959966182000000085 1991-08-050.28298610440.28645834
0.279513895511620.213342279195000000108 1991-08-060.28993055220.28298610
0.274305552244180.208106935024000000145 1991-08-070.28645834320.27604165
0.267361104488370.203525930643000000051 1991-08-080.27777779100.26996529
0.267361104488370.204180344939000000078 1991-08-090.26996529100.27083334
0.269097208976740.210724562406000000120 1991-08-120.27083334320.27951389
0000000000.281250.217268809676000000061 1991-08-130.28298610440.28819444
0.291666656732550.225121900439000000156 1991-08-140.29340279100.29861110
0.284722208976740.217268809676000000147 1991-08-150.30034720890.28819444
0.288194447755810.223813086748000000129 1991-08-160.2934027910000.296875
0.277777791023250.218577727675000000115 1991-08-19000000.281250.28993055
0.284722208976740.216614395380000000107 1991-08-200.29340279100.28732639
00000000.28906250.231666088104000000194 1991-08-210.28993055220.30729165
0.309027791023250.236247137188000000089 1991-08-220.30902779100.31336805
0.309027791023250.239519238471000000101 1991-08-230.31076389550.31770834
00000000000.31250.239519238471000000037 1991-08-260.31770834320.31770834
0.309027791023250.238210424780000000042 1991-08-270.31770834320.31597220
00000000000.31250.240828111767000000028 1991-08-280.31597220890.31944444
0.314236104488370.239519238471000000038 1991-08-290.31944444770.31770834
00000000000.31250.237556025385000000025 1991-08-300.31423610440.31510415
0.307291656732550.234283894300000000014 1991-09-030.31076389550.31076389
0.295138895511620.225121900439000000058 1991-09-040.31076389550.29861110
0.284722208976740.221195429563000000083 1991-09-050.29340279100.29340279
0.289930552244180.221195429563000000052 1991-09-060.29340279100.29340279
0.293402791023250.228394031524000000033 1991-09-090.29340279100.30295139
0.300347208976740.227739647030000000081 1991-09-100.30381944770.30208334
0.298611104488370.230357334017000000037 1991-09-110.30381944770.30555555
0.307291656732550.235592722892000000076 1991-09-120.307291656700000.3125
0.303819447755810.230357334017000000064 1991-09-130.31423610440.30555555
0.293402791023250.225121900439000000030 1991-09-160.30555555220.29861110
0.293402791023250.225121900439000000033 1991-09-1700000.2968750.29861110
0.293402791023250.230357334017000000029 1991-09-180.29340279100.30555555
0.303819447755810.234283894300000000063 1991-09-190.30381944770.31076389
0.310763895511620.236247137188000000078 1991-09-200000000.31250.31336805
0.309027791023250.235592722892000000084 1991-09-230.314236104400000.3125
0.309027791023250.234938308596000000097 1991-09-240000000.31250.31163194
0.300347208976740.226430758833000000055 1991-09-250000000.31250.30034720
0.279513895511620.210724562406000000206 1991-09-260.28819444770.27951389
0.274305552244180.209415733814000000152 1991-09-270.27777779100.27777779
0.272569447755810.214651122689000000077 1991-09-300.27604165670.28472220
0.283854156732550.221195429563000000080 1991-10-010.28819444770.29340279
0.282118052244180.215959966182000000114 1991-10-020.29340279100.28645834
0.279513895511620.210724562406000000053 1991-10-030.28645834320.27951389
0.279513895511620.215959966182000000044 1991-10-040.28298610440.28645834
0.284722208976740.217923283576000000050 1991-10-070.284722208900.2890625
0.282986104488370.218577727675000000078 1991-10-080.28819444770.28993055
0.270833343267440.205489218235000000118 1991-10-090.28645834320.27256944
0.258680552244180.203525930643000000162 1991-10-100.27430555220.26996529
0.269097208976740.212687864899000000130 1991-10-110.26909720890.28211805
0000000000.281250.222504213452000000066 1991-10-140.28298610440.29513889
000000000.2968750.230357334017000000112 1991-10-1500000.2968750.30555555
0.303819447755810.235592722892000000150 1991-10-160.305555552200000.3125
0.307291656732550.235592722892000000150 1991-10-170.310763895500000.3125
0.310763895511620.234938308596000000064 1991-10-180.31423610440.31163194
0.305555552244180.231666088104000000060 1991-10-210.31163194770.30729165
0.309027791023250.236901551485000000045 1991-10-220.30902779100.31423610
0.310763895511620.238210424780000000030 1991-10-230.31510415670.31597220
0.300347208976740.231011733412000000113 1991-10-240.31770834320.30642360
000000000.2968750.227739647030000000084 1991-10-250.30381944770.30208334
0.303819447755810.236901551485000000061 1991-10-280.30729165670.31423610
0.309027791023250.237556025385000000053 1991-10-290.31597220890.31510415
0.315972208976740.248681262135000000166 1991-10-300.31770834320.32986110
000000000.3281250.255225360393000000131 1991-10-310.32986110440.33854165
0.326388895511620.247372329235000000096 1991-11-010.3385416567000.328125
0.324652791023250.248026788234000000041 1991-11-0400000.3281250.32899305
0.328993052244180.253916621208000000117 1991-11-050.33159720890.33680555
0.333333343267440.255225360393000000059 1991-11-060.33854165670.33854165
0.354166656732550.273549348115000000230 1991-11-070.36111110440.36284720
