00000001.22656250.011936481110000000000 1963-09-16000000000000001.234375
000000001.2343750.011936481110000000000 1963-09-17000000000000001.234375
000000001.2343750.011936481110000000000 1963-09-18000000000000001.234375
000000001.2343750.012012023478000000000 1963-09-1900000000000001.2421875
000000001.2343750.011936481110000000000 1963-09-20000000000000001.234375
000001.2324218750.012012023478000000000 1963-09-2300000000000001.2421875
000001.2285156250.011879822239000000000 1963-09-240000000000001.22851562
000001.2285156250.011879822239000000000 1963-09-250000000000001.22851562
0000000001.218750.011898701079000000000 1963-09-260000000000001.23046875
0000001.222656250.011860933154000000000 1963-09-2700000000000001.2265625
000001.2285156250.011936481110000000000 1963-09-30000000000000001.234375
000001.2402343750.011993130668000000000 1963-10-010000000000001.24023437
000000001.2343750.011974247172000000000 1963-10-020000000000001.23828125
000000001.2343750.011936481110000000000 1963-10-03000000000000001.234375
000001.2363281250.012012023478000000000 1963-10-0400000000000001.2421875
000001.2363281250.011974247172000000000 1963-10-070000000000001.23828125
000001.2285156250.011917592957000000000 1963-10-080000000000001.23242187
000001.2246093750.011842035688000000000 1963-10-090000000000001.22460937
0000000001.218750.011785383336000000000 1963-10-100000000000000001.21875
